Date,Close,Open,High,Low,Adj Close,Volume
2019-12-31,52.97999954223633,52.56999969482422,53.0,52.54999923706055,49.15579605102539,7094500
2020-01-02,53.95000076293945,53.27000045776367,53.959999084472656,53.22999954223633,50.05577850341797,13899600
2020-01-03,53.7599983215332,52.9900016784668,54.04999923706055,52.95000076293945,49.87948989868164,11026700
2020-01-06,54.040000915527344,53.36000061035156,54.20000076293945,53.349998474121094,50.139278411865234,10982400
2020-01-07,54.15999984741211,53.88999938964844,54.33000183105469,53.61000061035156,50.2506217956543,12015400
2020-01-08,54.130001068115234,53.939998626708984,54.599998474121094,53.70000076293945,50.44632339477539,11856700
2020-01-09,54.380001068115234,54.25,54.79999923706055,54.029998779296875,50.67931365966797,10671000
2020-01-10,54.45000076293945,54.54999923706055,54.650001525878906,54.220001220703125,50.74455261230469,9734800
2020-01-13,54.58000183105469,54.459999084472656,54.790000915527344,54.36000061035156,50.86570358276367,10858900
2020-01-14,54.880001068115234,54.52000045776367,55.18000030517578,54.5,51.145294189453125,12627200
2020-01-15,54.7599983215332,54.880001068115234,55.18000030517578,54.68000030517578,51.0334587097168,9090800
2020-01-16,55.43000030517578,54.97999954223633,55.45000076293945,54.93000030517578,51.657859802246094,9866000
2020-01-17,55.130001068115234,55.630001068115234,55.689998626708984,54.849998474121094,51.37827682495117,11166600
2020-01-21,55.220001220703125,54.97999954223633,55.36000061035156,54.91999816894531,51.462158203125,8773000
2020-01-22,54.720001220703125,55.40999984741211,55.650001525878906,54.599998474121094,50.99617385864258,6380500
2020-01-23,54.97999954223633,54.40999984741211,55.0,54.279998779296875,51.23848342895508,6583200
2020-01-24,54.06999969482422,55.060001373291016,55.20000076293945,53.880001068115234,50.39040756225586,6426000
2020-01-27,52.689998626708984,53.18000030517578,53.52000045776367,52.630001068115234,49.10432815551758,8259100
2020-01-28,53.459999084472656,52.86000061035156,53.68000030517578,52.65999984741211,49.821922302246094,8620300
2020-01-29,53.20000076293945,53.779998779296875,53.939998626708984,53.18000030517578,49.579612731933594,6332500
2020-01-30,53.310001373291016,52.81999969482422,53.33000183105469,52.279998779296875,49.682125091552734,7176200
2020-01-31,52.45000076293945,53.34000015258789,53.4900016784668,52.290000915527344,48.880653381347656,8884700
2020-02-03,53.09000015258789,52.72999954223633,53.40999984741211,52.689998626708984,49.47710418701172,8892500
2020-02-04,54.040000915527344,53.75,54.560001373291016,53.75,50.362449645996094,9769800
2020-02-05,54.7400016784668,54.66999816894531,55.029998779296875,54.58000183105469,51.01482009887695,9612900
2020-02-06,54.709999084472656,55.0,55.349998474121094,54.709999084472656,50.98685836791992,8832000
2020-02-07,54.720001220703125,54.27000045776367,54.970001220703125,54.189998626708984,50.99617385864258,7864800
2020-02-10,54.9900016784668,54.720001220703125,55.06999969482422,54.45000076293945,51.247806549072266,7198200
2020-02-11,55.150001525878906,55.16999816894531,55.540000915527344,55.11000061035156,51.39691925048828,8466600
2020-02-12,55.72999954223633,55.54999923706055,55.88999938964844,55.25,51.93745040893555,7541100
2020-02-13,55.310001373291016,55.310001373291016,55.63999938964844,55.0099983215332,51.5460319519043,8480100
2020-02-14,55.470001220703125,55.380001068115234,55.84000015258789,55.2400016784668,51.69513702392578,7496800
2020-02-18,55.45000076293945,55.41999816894531,55.7599983215332,55.099998474121094,51.67649841308594,7185700
2020-02-19,55.439998626708984,55.59000015258789,55.77000045776367,55.38999938964844,51.66718292236328,6819200
2020-02-20,55.5099983215332,55.400001525878906,55.869998931884766,54.880001068115234,51.732418060302734,6114600
2020-02-21,54.68000030517578,55.08000183105469,55.34000015258789,54.439998626708984,50.95889663696289,9078600
2020-02-24,52.650001525878906,53.099998474121094,53.529998779296875,52.5099983215332,49.067039489746094,10992500
2020-02-25,50.959999084472656,53.06999969482422,53.220001220703125,50.79999923706055,47.49205780029297,12202600
2020-02-26,52.04999923706055,51.310001373291016,53.13999938964844,51.2400016784668,48.507869720458984,16413100
2020-02-27,50.779998779296875,50.880001068115234,53.459999084472656,50.7599983215332,47.32429885864258,16161100
2020-02-28,49.459999084472656,49.2400016784668,49.88999938964844,47.900001525878906,46.09413146972656,24426000
2020-03-02,50.900001525878906,49.72999954223633,50.900001525878906,48.66999816894531,47.4361457824707,17328500
2020-03-03,48.849998474121094,50.619998931884766,51.84000015258789,48.25,45.5256462097168,21830500
2020-03-04,50.540000915527344,49.849998474121094,50.59000015258789,48.83000183105469,47.10062789916992,14813700
2020-03-05,48.0,49.22999954223633,49.68000030517578,47.75,44.733489990234375,15843000
2020-03-06,47.369998931884766,46.56999969482422,48.29999923706055,46.459999084472656,44.1463508605957,24581400
2020-03-09,46.0099983215332,44.95000076293945,47.56999969482422,44.65999984741211,42.87890625,25949300
2020-03-10,48.58000183105469,47.45000076293945,48.90999984741211,46.15999984741211,45.274017333984375,27067700
2020-03-11,44.720001220703125,46.810001373291016,47.47999954223633,44.27000045776367,41.67670822143555,24139200
2020-03-12,39.79999923706055,41.119998931884766,43.400001525878906,39.709999084472656,37.09151840209961,24123800
2020-03-13,47.93000030517578,44.45000076293945,47.9900016784668,43.41999816894531,44.66825485229492,28339400
2020-03-16,42.720001220703125,42.5099983215332,47.56999969482422,41.2599983215332,39.81281280517578,27493700
2020-03-17,46.86000061035156,43.619998931884766,47.709999084472656,41.65999984741211,43.67107009887695,25588900
2020-03-18,47.27000045776367,43.66999816894531,47.79999923706055,42.560001373291016,44.05317306518555,29557000
2020-03-19,45.06999969482422,46.470001220703125,47.970001220703125,44.869998931884766,42.00288009643555,20159100
2020-03-20,45.650001525878906,45.02000045776367,46.70000076293945,44.5099983215332,42.54340744018555,26340800
2020-03-23,44.189998626708984,45.0,46.4900016784668,43.88999938964844,41.18276596069336,23063700
2020-03-24,47.84000015258789,45.33000183105469,48.0099983215332,45.29999923706055,44.584373474121094,19323700
2020-03-25,45.939998626708984,47.099998474121094,48.7400016784668,45.47999954223633,42.81367111206055,25625800
2020-03-26,50.47999954223633,46.380001068115234,50.7400016784668,46.189998626708984,47.04471206665039,22417900
2020-03-27,49.83000183105469,49.09000015258789,51.599998474121094,48.560001373291016,46.4389533996582,20025300
2020-03-30,50.36000061035156,50.400001525878906,51.59000015258789,49.59000015258789,46.932884216308594,20611900
2020-03-31,48.33000183105469,51.119998931884766,51.18000030517578,48.0,45.041038513183594,15802000
2020-04-01,48.709999084472656,46.54999923706055,48.9900016784668,46.040000915527344,45.395164489746094,17918200
